#Id1	Id2	Corr
46	55	0.013
46	56	0.044
46	58	0.103
46	70	0.014
46	71	0.047
46	72	0.007
46	74	0.004
46	75	0.017
46	76	0.053
46	88	0.012
46	89	0.023
46	90	0.084
46	96	0.012
46	97	0.012
47	50	0.023
47	55	0.011
47	56	0.036
47	58	0.305
47	70	0.031
47	71	0.034
47	72	0.007
47	74	0.008
47	75	0.010
47	76	0.091
47	88	0.028
47	89	0.053
47	90	0.142
47	96	0.008
47	97	0.009
48	49	0.231
48	50	0.018
48	55	0.004
48	56	0.056
48	58	0.096
48	70	0.047
48	71	0.095
48	72	0.062
48	73	0.376
48	74	0.013
48	75	0.261
48	76	0.135
48	88	0.028
48	89	0.070
48	90	0.155
48	96	0.186
48	97	0.208
48	98	0.275
49	50	0.030
49	55	0.008
49	56	0.074
49	58	0.223
49	70	0.058
49	71	0.097
49	72	0.046
49	73	0.539
49	74	0.015
49	75	0.441
49	76	0.218
49	88	0.033
49	89	0.074
49	90	0.239
49	96	0.215
49	97	0.238
49	98	0.614
50	55	0.007
50	56	0.024
50	58	0.028
50	70	0.006
50	71	0.022
50	72	0.007
50	73	0.033
50	74	0.002
50	75	0.035
50	76	0.023
50	88	0.004
50	89	0.010
50	91	0.004
50	96	0.020
50	97	0.022
50	98	0.035
50	105	0.006
55	56	0.009
55	58	0.010
55	70	0.002
55	71	0.008
55	72	0.002
55	73	0.008
55	75	0.010
55	76	0.008
55	88	0.001
55	89	0.003
55	90	0.013
55	91	0.001
55	96	0.006
55	97	0.006
55	98	0.009
56	58	0.442
56	70	0.017
56	71	0.048
56	72	0.020
56	73	0.095
56	74	0.005
56	75	0.090
56	76	0.060
56	88	0.011
56	89	0.025
56	90	0.095
56	91	0.011
56	96	0.058
56	97	0.061
56	98	0.090
56	105	0.003
58	70	0.028
58	71	0.067
58	72	0.023
58	73	0.225
58	74	0.007
58	75	0.194
58	76	0.112
58	88	0.017
58	89	0.038
58	90	0.132
58	96	0.096
58	97	0.106
58	98	0.256
70	71	0.020
70	72	0.012
70	73	0.095
70	74	0.005
70	75	0.064
70	76	0.044
70	88	0.011
70	89	0.029
70	90	0.056
70	96	0.041
70	97	0.044
70	98	0.092
71	72	0.024
71	73	0.133
71	74	0.006
71	75	0.112
71	76	0.065
71	88	0.013
71	89	0.030
71	90	0.091
71	91	0.031
71	96	0.071
71	97	0.078
71	98	0.114
71	105	0.011
72	73	0.082
72	74	0.003
72	75	0.063
72	76	0.037
72	88	0.007
72	89	0.018
72	90	0.051
72	91	0.004
72	96	0.046
72	97	0.050
72	98	0.061
73	74	0.025
73	75	0.522
73	76	0.272
73	88	0.055
73	89	0.127
73	90	0.309
73	96	0.301
73	97	0.334
73	98	0.729
74	75	0.018
74	76	0.013
74	88	0.003
74	89	0.008
74	90	0.019
74	96	0.011
74	97	0.012
74	98	0.023
74	105	0.002
75	76	0.228
75	88	0.041
75	89	0.091
75	90	0.275
75	91	0.003
75	96	0.270
75	97	0.288
75	98	0.533
75	105	0.043
76	88	0.029
76	89	0.065
76	90	0.214
76	96	0.135
76	97	0.146
76	98	0.276
76	105	0.002
88	89	0.021
88	90	0.038
88	96	0.025
88	97	0.027
88	98	0.052
88	105	0.262
89	90	0.087
89	96	0.059
89	97	0.064
89	98	0.117
89	105	0.008
90	91	0.014
90	96	0.166
90	97	0.176
90	98	0.310
90	105	0.023
91	96	0.001
91	97	0.003
96	97	0.204
96	98	0.268
96	105	0.002
97	98	0.297
97	105	0.001
14	18	0.680
14	63	0.507
